#,Issue key,Issue id,Custom field (Epic Link),Ename,Assignee,Custom field (Story Points),teste,Original Estimate,Time Spent,Remaining Estimate,Sprint,Sprint2,Sprint3,Summary
1,PCS-28233,596065,PCS-28016,May21-21xPCS,ssubramanian,4,,57600,57600,0,PCS-2124,,,[ISA8K]: System is allowing more than permitted Licenses
2,PCS-28264,596185,PCS-28016,May21-21xPCS,ssubramanian,4,,57600,57600,0,PCS-2124,,,[ISA8K-F]:Able to establish 25K Tunnels without licenses
3,PCS-28333,596498,PCS-28322,May21-New Platform support,ssubramanian,6,,86400,86400,0,PCS-2124,,,ISA8K Platform porting document-part1
4,PCS-27371,592012,PCS-28322,May21-New Platform support,ssubramanian,4,,57600,57600,0,PCS-2124,,,SM HW: Licensing Dev Information Documentation 
5,PCS-27022,590514,PCS-28017,May21-Deployment-Phase2,rajeshg,6,,86400,64800,21600,PCS-2118,PCS-2120,PCS-2124,SuperDoctor: Confirm SuperDoctor diagnostic tool with SM-HW port
6,PCS-28232,596064,PCS-28017,May21-Deployment-Phase2,rajeshg,4,,57600,115200,0,PCS-2124,,,[ISA8K]: HW status & other information missing from Admin UI 
7,PCS-28332,596496,PCS-28017,May21-Deployment-Phase2,rajeshg,6,,86400,10800,75600,PCS-2124,PCS-2126,,SM-HW: Pixe Packaging - Testing on HW
8,PCS-28312,596429,PCS-28311,May21-Baseline,praveens,4,,57600,115200,0,PCS-2124,,,QA-ISA8K-Perf Baseline: Max Users/Tunnel Setup count(ESP)
9,PCS-28318,596435,PCS-28311,May21-Baseline,praveens,4,,57600,57600,0,PCS-2124,,,QA-ISA8K-Perf Baseline: Tunnel setup rate tests(ESP)
10,PCS-28319,596436,PCS-28311,May21-Baseline,praveens,6,,86400,86400,0,PCS-2124,,,QA-ISA8K-Perf Baseline: Baseline the Max Throughput(ESP)
11,PCS-28441,596948,PCS-28322,May21-New Platform support,praveens,2,,28800,50400,0,PCS-2124,,,[SM-HW]: Investigate the issue where admin UI is not accessible on HW 38
12,PCS-28313,596430,PCS-28311,May21-Baseline,karthikr,4,,7200,115200,0,PCS-2124,,,QA-ISA8K-Perf Baseline: Max Users/Tunnel Setup count(SSL)
13,PCS-28315,596432,PCS-28311,May21-Baseline,karthikr,6,,86400,28800,0,PCS-2124,PCS-2126,,QA-ISA8K-Perf Baseline: Baseline the Max Throughput(SSL)
14,PCS-26807,589433,PCS-28017,May21-Deployment-Phase2,kalaimani.k,8,,115200,28800,0,PCS-2114,PCS-2124,,SMHW: Checking BIOS configuration
15,PCS-28334,596499,PCS-28322,May21-New Platform support,kalaimani.k,6,,86400,172800,0,PCS-2124,,,ISA8K Platform porting document (Driver related)
16,PCS-28663,597761,PCS-28322,May21-New Platform support,kalaimani.k,4,,1200,57600,0,PCS-2124,,,SM-HW: Analysis and Explore the Secure Boot option on SM HW
17,PCS-28355,596647,PCS-28016,May21-21xPCS,balajit,6,,86400,104400,0,PCS-2124,,,SM-HW: ISA8000 License parameters information collection 
18,PCS-28357,596652,PCS-28016,May21-21xPCS,balajit,6,,86400,57600,28800,PCS-2124,,,SM HW: CPU Affinity Usage Checking during traffic 
19,PCS-28390,596746,PCS-28016,May21-21xPCS,balajit,4,,57600,57600,0,PCS-2124,,,SM-HW: ISA8000 License checking support
20,PCS-28314,596431,PCS-28311,May21-Baseline,balachandras,6,,86400,57600,0,PCS-2124,PCS-2126,,QA-ISA8K-Perf Baseline: Tunnel setup rate tests(SSL)
21,PCS-28316,596433,PCS-28311,May21-Baseline,balachandras,8,,14400,144000,0,PCS-2124,PCS-2126,,QA-ISA8K-Perf Baseline: Throughput-Standard/less packet sizes/varied user load(SSL)
22,PCS-28438,596940,PCS-28322,May21-New Platform support,balachandras,2,,28800,57600,0,PCS-2124,,,[SM HW]: Flashing serial number to BIOS
